website,symbol,name,time
https://seekingalpha.com/article/4293583-aar-corp-air-ceo-john-holmes-q1-2020-results-earnings-call-transcript?part=single,AIR,AAR Corp. (NYSE:,") Q1 2020 Results Conference Call September 25, 2019  4:45 AM ET"
https://seekingalpha.com/article/4293587-kb-home-kbh-ceo-jeff-mezger-q3-2019-earnings-call-transcript?part=single,KBH,KB Home (NYSE:,") Q3 2019 Results Earnings Conference Call September 25, 2019  5:00 PM ET"
https://seekingalpha.com/article/4293614-best-buy-co-inc-bby-ceo-corie-barry-hosts-investor-update-meeting-conference-transcript?part=single,BBY,"Best Buy Co., Inc. (NYSE:",") Investor Update Meeting Call September 25, 2019 10:00 AM ET"
https://seekingalpha.com/article/4293700-accenture-plc-acn-ceo-julie-sweet-fiscal-q4-2019-results-earnings-call-transcript?part=single,ACN,Accenture plc (NYSE:,") Q4 2019 Results Earnings Conference Call September 26, 2019  8:00 AM ET"
https://seekingalpha.com/article/4293710-chf-solutions-inc-chfs-sponsored-call-md-panel-results-aquadex-flexflow-pediatric-patients?part=single,CHFS,"CHF Solutions, Inc. (NASDAQ:",") Investor Update Conference Call September 25, 2019  1:00 PM ET"
https://seekingalpha.com/article/4293740-actuant-corporation-atu-ceo-randy-baker-q4-2019-results-earnings-call-transcript?part=single,ATU,Actuant Corporation (NYSE:,") Q4 2019 Earnings Conference Call September 26, 2019 11:00 AM ET"
https://seekingalpha.com/article/4293741-nio-inc-nio-ceo-william-li-q2-2019-results-earnings-call-transcript?part=single,"NIO,[Author ID1: at Thu Sep 26 11:28:00 2019,[Author ID1: at Thu Sep 26 11:28:00 2019,[Author ID1: at Thu Sep 26 11:28:00 2019,[Author ID1: at Thu Sep 26 11:30:00 2019,[Author ID1: at Thu Sep 26 11:30:00 2019",NIO Inc. (NYSE:,") Q2 2019 Results Conference Call September 25, 2019  8:00 AM ET"
https://seekingalpha.com/article/4293756-h-b-fuller-company-ful-ceo-jim-owens-q3-2019-earnings-call-transcript?part=single,FUL,H.B. Fuller Company (NYSE:,") Q3 2019 Earnings Conference Call September 26, 2019 10:30 AM ET"
https://seekingalpha.com/article/4293830-progress-software-corporation-prgs-ceo-yogesh-gupta-q3-2019-results-earnings-call-transcript?part=single,PRGS,Progress Software Corporation (NASDAQ:,") Q3 2019 Results Conference Call September 26, 2019  5:00 PM ET"
https://seekingalpha.com/article/4293833-aytu-bioscience-inc-aytu-ceo-josh-disbrow-q4-2019-results-earnings-call-transcript?part=single,AYTU,"Aytu BioScience, Inc. (NASDAQ:",") Q4 2019 Earnings Conference Call September 26, 2019  4:30 PM ET"
https://seekingalpha.com/article/4293835-calamp-corp-camp-ceo-michael-burdiek-q2-2020-results-earnings-call-transcript?part=single,CAMP,CalAmp Corp. (NASDAQ:,") Q2 2020 Results Earnings Conference Call September 26, 2019  4:30 PM ET"
https://seekingalpha.com/article/4293837-ulta-beauty-inc-ulta-management-presents-wells-fargo-consumer-conference-and-beauty-forum?part=single,ULTA,Ulta Beauty Inc. (NASDAQ:,") Wells Fargo Consumer Conference & Beauty Forum Conference September 26, 2019  4:40 PM ET"
https://seekingalpha.com/article/4293841-applied-genetic-technologies-corporation-agtc-ceo-sue-washer-q4-2019-results-earnings-call?part=single,AGTC,Applied Genetic Technologies Corporation (NASDAQ:,")  Q4 2019 Earnings Conference Call  September 26, 2019  4:30 PM ET"
https://seekingalpha.com/article/4293959-net-1-ueps-technologies-inc-ueps-ceo-herman-kotze-q4-2019-results-earnings-call-transcript?part=single,UEPS,"Net 1 UEPS Technologies, Inc. (NASDAQ:",") Q4 2019 Earnings Conference Call September 27, 2019  8:00 AM ET"
https://seekingalpha.com/article/4294615-lamb-weston-holdings-inc-lw-ceo-tom-werner-q1-2020-results-earnings-call-transcript?part=single,LW,"Lamb Weston Holdings, Inc. (NYSE:",") Q1 2020 Earnings Conference Call October  2, 2019 10:00 AM ET"
https://seekingalpha.com/article/4294620-ford-motor-company-f-q3-2019-us-sales-call-transcript?part=single,F,Ford Motor Company (NYSE:,") Q3 2019 US Sales Conference Call October  2, 2019 10:00 AM ET"
https://seekingalpha.com/article/4294637-rpm-international-inc-rpm-ceo-frank-sullivan-q1-2020-results-earnings-call-transcript?part=single,RPM,RPM International Inc. (NYSE:,") Q1 2020 Earnings Conference Call October  2, 2019 10:00 AM ET"
https://seekingalpha.com/article/4294647-landec-corporation-lndc-ceo-albert-bolles-q1-2020-earnings-call-transcript?part=single,LNDC,Landec Corporation (NASDAQ:,") Q1 2020 Results Earnings Conference Call October  2, 2019 11:00 AM ET"
https://seekingalpha.com/article/4294651-eli-lilly-companys-lly-management-presents-lilly-oncology-update-esmo-2019-conference?part=single,LLY,Eli Lilly and Company (NYSE:,")  Goldman Sachs 40th Annual Global Helathcare Conference  October  2, 2019  9:00 AM ET"
https://seekingalpha.com/article/4294678-acuity-brands-inc-ayi-ceo-vern-nagel-q4-2019-results-earnings-call-transcript?part=single,AYI,"Acuity Brands, Inc. (NYSE:",") Q4 2019 Earnings Conference Call October  2, 2019 10:00 AM ET"
https://seekingalpha.com/article/4294683-novagold-resources-inc-s-ng-ceo-greg-lang-q3-2019-results-earnings-call-transcript?part=single,NG,NovaGold Resources Inc. (NYSEMKT:,") Q3 2019 Results Earnings Conference Call October  2, 2019 11:00 AM ET"
https://seekingalpha.com/article/4294702-paychex-inc-payx-ceo-martin-mucci-q1-2020-results-earnings-call-transcript?part=single,PAYX,"Paychex, Inc. (NASDAQ:",") Q1 2020 Earnings Conference Call October  2, 2019  9:30 AM ET"
https://seekingalpha.com/article/4294703-acadia-pharmaceuticals-inc-acad-management-presents-2019-cantor-global-healthcare-conference?part=single,ACAD,"ACADIA Pharmaceuticals, Inc. (NASDAQ:",") 2019 Cantor Global Healthcare Conference October  2, 2019  3:00 PM ET"
https://seekingalpha.com/article/4294714-bed-bath-and-beyond-inc-bbby-ceo-mary-winston-q2-2019-results-earnings-call-transcript?part=single,BBBY,Bed Bath & Beyond Inc. (NASDAQ:,") Q2 2019 Earnings Conference Call October  2, 2019  5:00 PM ET"
https://seekingalpha.com/article/4294716-amyris-inc-amrs-ceo-john-melo-q2-2019-results-earnings-call-transcript?part=single,AMRS,"Amyris, Inc. (NASDAQ:",") Q2 2019 Earnings Conference Call October  2, 2019  4:30 PM ET"
https://seekingalpha.com/article/4294846-angiodynamics-inc-ango-ceo-jim-clemmer-q1-2020-results-earnings-call-transcript?part=single,ANGO,"AngioDynamics, Inc. (NASDAQ:",") Q1 2020 Results Conference Call October  3, 2019  8:00 AM ET"
https://seekingalpha.com/article/4294853-stolt-nielsen-soief-ceo-niels-stolt-nielsen-q3-2019-results-earnings-call-transcript?part=single,OTCPK:SOIEF,Stolt-Nielsen Limited (,") Q3 2019 Earnings Conference Call October  3, 2019  9:00 AM ET"
https://seekingalpha.com/article/4294866-pepsico-inc-pep-ceo-ramon-laguarta-q3-2019-results-earnings-call-transcript?part=single,PEP,"PepsiCo, Inc. (NASDAQ:",") Q3 2019 Earnings Conference Call October  3, 2019  7:45 AM ET"
https://seekingalpha.com/article/4294954-arena-pharmaceuticals-inc-arna-ceo-amit-munshi-presents-2019-cantor-global-healthcare?part=single,ARNA,"Arena Pharmaceuticals, Inc. (NASDAQ:",") 2019 Cantor Global Healthcare Conference October  2, 2019  3:00 PM ET"
https://seekingalpha.com/article/4294956-richelieu-hardware-ltd-rhuhf-ceo-richard-lord-q3-2019-results-earnings-call-transcript?part=single,OTC:RHUHF,Richelieu Hardware Ltd. (,") Q3 2019 Results Earnings Conference Call October  3, 2019  2:30 PM ET"
https://seekingalpha.com/article/4294963-ascena-retail-group-inc-asna-ceo-gary-muto-q4-2019-results-earnings-call-transcript?part=single,ASNA,"Ascena Retail Group, Inc. (NASDAQ:",") Q4 2019 Earnings Conference Call October  3, 2019  4:30 PM ET"
